tag,total_posts,total_views,total_answers,total_comments,total_favorites,year
python,96267,676921116,178565,190232,131712,2013
php,96031,444303212,225684,174325,74870,2011
jquery,92200,82936716,135219,245979,12381,2017
c#,90961,24333710,94775,257927,8943,2020
ios,90893,211981314,139612,183085,73601,2014
reactjs,90434,47890939,103734,152492,9667,2020
css,90312,239697553,160509,205064,33417,2014
javascript,89972,778813723,219457,145782,158705,2011
css,88625,156818074,148977,200835,24749,2015
html,88202,73953650,127847,218246,13139,2018
html,87724,16762092,108412,178269,6089,2020
android,86009,552819588,170882,90181,144953,2011
android,85224,65543364,100721,177372,18961,2019
ios,84783,132534624,115355,185147,42178,2016
css,83821,128140734,139343,187417,19687,2016
c++,82572,153361709,133575,278451,41882,2014
c++,82023,254283620,152885,260644,62224,2013
ios,81544,199591259,137478,152992,73722,2013
android,81168,31756752,78682,137206,10957,2020
jquery,79787,491239005,182013,115245,75160,2011
c++,79742,107475569,119270,272646,31816,2015
php,78328,34176655,93289,229343,7854,2019
css,77926,107890836,126560,175024,16746,2017
mysql,77898,126434855,122299,204755,18803,2014
css,77410,434052611,154914,169167,55795,2013
html,76723,34730029,108001,180786,8501,2019
java,76436,6142362,66429,153973,5803,2021
sql,75886,151542330,127110,184880,17960,2014
c#,75333,541925301,204254,94566,113028,2010
html,74723,477801828,159270,144063,63557,2012
mysql,74272,89478156,107509,203888,15904,2015
mysql,72426,221755331,130868,177452,29362,2013
c++,71403,78188289,101710,258222,26412,2016
ios,70576,196493613,124898,98384,74868,2012
php,69647,17449300,69476,181523,4870,2020
mysql,69595,70595989,97305,201279,12314,2016
reactjs,69312,6939830,61482,102368,3417,2021
angularjs,67743,120431196,91406,135758,19988,2015
angularjs,67104,74208931,87950,135004,12050,2016
python-3.x,66339,20020697,76886,127676,6311,2020
ios,66020,82959037,84813,155675,27153,2017
sql,65500,297694921,124831,147566,29912,2013
python,64171,612751953,137456,115177,127331,2012
c++,63088,265790569,134324,178530,83631,2012
mysql,62888,54698110,82744,190861,10304,2017
r,62851,9255759,72676,101776,10108,2020
node.js,62228,28002216,61281,109544,6313,2020
c++,61976,57178611,80921,239859,19405,2017
python-3.x,61217,40523933,77907,126009,10216,2019
c++,59813,11206865,66700,228852,9207,2020
reactjs,59483,84100337,79847,113781,14694,2019
css,57983,13049902,73806,108425,4594,2020
css,57979,58440424,86656,132029,10062,2018
html,57782,3172681,60624,106959,2657,2021
mysql,56632,240876892,115012,116690,36687,2012
swift,56440,102450250,80419,121397,30668,2016
angular,56107,139659760,76570,122586,19432,2018
sql,55752,60505839,90742,152773,8859,2016
jquery,55713,32053084,76469,154568,6120,2018
sql,55554,48077159,87505,156683,7376,2017
sql,54884,77683251,91901,145628,11180,2015
c#,54350,3929359,47066,148412,3067,2021
java,54340,677588568,160842,66187,157983,2010
angular,53974,198279983,73247,114708,38851,2017
iphone,53885,154468947,104556,54511,59002,2011
sql,53219,6809629,74098,118777,3086,2020
sql,52471,28406340,83417,152003,6559,2018
r,52196,35304453,63499,108861,12578,2018
android,52191,5411239,36971,74207,3744,2021
c++,52002,32503759,66322,215601,13387,2018
pandas,51896,10812778,66189,84409,4974,2020
php,51555,366684224,141991,68762,74935,2010
css,51034,350294777,111652,95922,50925,2012
node.js,50979,101783404,62408,101420,19975,2017
r,50976,55287388,61436,104736,16700,2017
angular,50602,60259476,66625,105823,10909,2019
python-3.x,50529,63807155,66860,113959,13387,2018
r,50196,16678686,58892,97660,7582,2019
css,50114,26912972,72864,109387,6312,2019
swift,49916,135313423,78344,91664,40261,2015
sql,49527,14303122,76818,130004,4478,2019
c++,49501,19194104,61330,195729,11120,2019
node.js,49463,75002450,59108,100891,14100,2018
node.js,48450,47277113,55842,94493,9036,2019
swift,48383,61368431,64743,118975,20176,2017
objective-c,48272,73341706,74317,107105,27724,2014
c++,47943,267219169,128428,119013,85743,2011
asp.net,47730,158862643,76129,94136,17670,2013
html,47450,464624447,116194,77497,72390,2011
objective-c,47440,104222216,83242,98534,38172,2013
mysql,47263,32614568,60627,144465,6995,2018
reactjs,46894,110616742,65357,90711,18175,2018
objective-c,46669,110283986,85252,70007,41614,2012
node.js,46425,108348253,59029,86557,23577,2016
c#,45995,558765042,160247,45502,139671,2009
angularjs,45911,158118170,66033,78065,31619,2014
angular,45835,22964424,50865,80294,5099,2020
ios,45205,42693498,54658,106561,14300,2018
node.js,44954,4449234,33174,67408,2264,2021
arrays,44862,69524064,83941,129080,12128,2015
asp.net,44677,166175569,80205,73855,19562,2012
arrays,44645,61771154,81807,132522,10301,2016
r,44312,67673279,55321,97396,17189,2016
ruby-on-rails,44264,84474553,66929,66056,24411,2013
iphone,43883,102461146,80399,62545,35042,2012
javascript,43436,541351465,118971,54130,121988,2010
arrays,43141,44361038,76544,134227,8680,2017
sql,43060,269906159,92800,86644,28718,2012
ruby-on-rails,43013,54077994,58343,72912,21167,2014
php,42700,3008485,33946,101639,1968,2021
asp.net,42515,184156303,85274,55451,24455,2011
r,42323,2092418,43870,59813,4012,2021
python,42136,539165470,104091,63720,122942,2011
c,41737,76161838,76128,148361,16565,2014
arrays,41362,83854572,81947,113173,13382,2014
json,41246,80361042,58776,102579,12347,2016
asp.net,41185,87815430,57038,88711,12315,2014
swift,41120,33137618,52148,101403,11665,2018
r,40644,83879616,53448,89962,22084,2015
c,40583,142592117,84640,132136,28981,2013
json,40565,62862893,56302,103327,9960,2017
mysql,40563,233219465,92437,68586,39561,2011
ruby-on-rails,40319,35722313,52883,71531,11310,2015
c,40018,53971306,68535,162928,13457,2015
css,39518,2402853,42920,66431,1898,2021
jquery,39241,351961197,95619,41998,58700,2010
.net,38870,205516581,87293,64794,42852,2011
pandas,38830,21791014,54078,72247,6330,2019
objective-c,38787,128883438,77830,42137,50887,2011
flutter,38732,27404336,44255,52248,6996,2020
mysql,38493,14105198,48064,111576,3603,2019
jquery,38224,12995358,50131,100037,3222,2019
json,38150,87154105,54934,91558,14110,2015
angularjs,37640,28573958,46464,82483,4692,2017
ruby-on-rails,37570,84800419,60997,43243,29064,2012
python-3.x,37466,3057031,35705,68593,2012,2021
django,37439,8348135,35825,60926,3230,2020
arrays,37391,5498554,57497,95621,2777,2020
node.js,37088,103927361,48545,66599,23666,2015
mysql,36939,7078083,40377,96512,2243,2020
iphone,36852,132918662,74455,24634,56437,2010
.net,36344,155314623,70173,72509,31178,2012
objective-c,35738,38932177,51069,80438,14543,2015
typescript,35478,19276886,40309,61237,4649,2020
c++,35342,2736614,33745,132283,3821,2021
swift,35275,10069549,36908,67048,5492,2020
ruby-on-rails,35249,27663758,45454,64244,6685,2016
pandas,35069,2125121,40900,53215,2053,2021
sql-server,34921,42887402,54326,103573,5617,2016
swift,34757,24002859,43927,78399,10530,2019
c,34528,35957739,55370,153910,10012,2016
jquery,34474,5276820,38356,79434,2360,2020
sql-server,34448,32397003,51622,104536,4724,2017
asp.net,34433,51814171,43357,83872,8505,2015
reactjs,34366,122928819,49217,62119,21305,2017
arrays,34224,24793245,60758,106732,5761,2018
json,33820,105368418,51220,78627,16243,2014
excel,33624,40191893,42082,88543,4666,2017
sql-server,33349,49124440,53037,94144,6779,2015
.net,33341,119088399,57124,76810,22174,2013
ios,33187,151462807,67171,33177,64480,2011
sql,33136,1648296,40360,78751,1597,2021
ios,32919,27592537,39591,71753,11037,2019
flutter,32860,4680778,29505,38197,2131,2021
css,32588,332803450,81704,54729,51491,2011
ios,32488,13609901,31815,56116,6084,2020
python-3.x,32435,66394632,44919,73595,11428,2017
c++,31954,234315977,104633,65849,82618,2010
sql-server,31542,81787443,53038,79114,8534,2014
pandas,31497,46043123,44931,58306,10575,2018
json,31407,33640314,42344,81949,5765,2018
c,30981,155005765,72651,85898,35134,2012
.net,30876,192047407,79555,35614,50872,2010
r,30852,104334139,45271,62653,25851,2014
arrays,30828,133794127,69496,80540,17200,2013
ruby-on-rails,30817,99296979,57510,28982,38472,2011
sql,30727,256077546,75341,53793,34118,2011
arrays,30704,11311142,53523,87598,3837,2019
excel,30661,48976680,40597,74831,5078,2016
json,30634,7522428,36036,65374,2325,2020
c,30567,25816538,45653,150547,7030,2017
laravel,30536,12447587,33831,68713,2330,2020
c,30278,4875841,38190,126102,2862,2020
asp.net,30186,38971788,36685,74118,6566,2016
ruby,30022,39962262,45742,56789,13747,2014
excel,29728,22821800,36262,83062,3833,2018
asp.net,29576,130458366,64752,26524,23316,2010
ruby,29261,62675538,49643,49912,18625,2013
sql-server,29250,18523183,43301,96474,3659,2018
regex,29170,44482837,57144,68388,9509,2014
typescript,29067,38371992,38122,55388,7490,2019
django,28389,15849067,30248,59326,4192,2019
regex,28222,30121558,50511,72223,5970,2015
ruby,27993,26311532,40908,53872,7922,2015
laravel,27925,22008501,37781,68921,3423,2019
ajax,27790,52604813,39125,73724,7435,2014
excel,27738,61655344,38352,59670,5076,2015
json,27695,17760030,36728,67157,3603,2019
iphone,27652,57239883,47999,53775,19338,2013
node.js,27611,107545160,38721,44368,29289,2014
excel,27486,9020164,30339,77221,2754,2019
android,27161,354897510,66276,22188,116819,2010
laravel,27086,37155597,38276,71141,5751,2018
sql-server,27080,173206993,51230,61450,14936,2013
python,27007,491229677,80719,34881,123593,2010
.net,26864,57859837,39650,67122,12819,2014
json,26849,144535438,45213,60592,19967,2013
django,26822,25631923,30092,55260,6335,2018
angular,26786,189370187,42710,44615,35363,2016
regex,26699,83396653,57226,63534,12741,2013
ajax,26644,39956842,35209,77758,6040,2015
angular,26466,2902063,22273,37798,1330,2021
django,26428,1607446,19590,39683,1124,2021
typescript,26272,2793327,23817,41144,1650,2021
vba,26088,28822520,32635,74646,3097,2017
ajax,26070,85682686,41003,66180,14788,2013
sql-server,26063,9845311,36848,83023,2535,2019
django,25879,34556007,31194,50311,7581,2017
c,25700,14204588,36859,121496,4670,2018
react-native,25624,14564586,25596,33163,2735,2020
typescript,25603,65444134,35257,52122,10567,2018
c,25559,8293143,34416,111844,3728,2019
xml,25337,39471430,33855,47792,5863,2014
excel,25264,3859118,24998,65939,2322,2020
spring-boot,25005,12667743,24130,46635,3021,2020
laravel,24901,57854511,37792,60100,7965,2017
dataframe,24883,4142271,33464,37720,2750,2020
asp.net-mvc,24857,68239168,35317,52556,11941,2014
ajax,24800,28712283,31805,75406,4323,2016
asp.net,24401,26413397,27929,65252,4753,2017
ruby,24367,68553364,44146,32973,21365,2012
regex,24246,23884652,41668,73051,4591,2016
ruby-on-rails,24198,15456910,29531,45970,3694,2017
linux,24108,53804887,33273,57451,10348,2015
ruby,24031,19908200,34766,49416,5030,2016
java,23922,484139063,95212,25498,127561,2009
linux,23916,78094618,36080,53299,14641,2014
vba,23912,16078493,29425,72609,2713,2018
firebase,23710,9322651,23806,38333,3007,2020
asp.net-mvc,23613,45487064,30890,62208,8270,2015
xml,23410,29316984,29917,46556,4842,2015
vba,23372,34502074,31855,59654,3370,2016
objective-c,23344,19223209,31435,57603,7057,2016
django,23275,38649857,28875,43718,9781,2016
amazon-web-services,23190,10637416,22660,35879,3065,2020
.net,23189,38241497,31911,61975,9050,2015
pandas,23184,68510142,35102,38470,13249,2017
spring,23184,55326760,28239,48821,9537,2017
vue.js,23153,12517220,23872,37993,2260,2020
xml,23082,64723490,34000,39789,8215,2013
.net,23036,234834700,77536,20970,72242,2009
sql-server,22853,3788588,28241,63666,1402,2020
django,22801,43607508,29603,40087,11602,2015
arrays,22799,1309135,31125,56441,1362,2021
asp.net-mvc,22780,96403733,36838,39273,15305,2013
html,22714,315972510,64349,29290,52026,2010
linux,22609,43754381,29646,55014,8548,2016
c,22585,152598546,63300,53944,39268,2011
asp.net-mvc,22575,32137085,27868,62205,5313,2016
firebase,22563,29779616,26958,44703,7740,2018
spring,22309,68836960,27695,45383,11698,2016
vba,22240,6047126,24479,66497,2027,2019
r,22222,118619388,36393,45170,29466,2013
mysql,22186,1264647,19650,55006,993,2021
xcode,22158,66286412,39116,31269,20046,2012
excel,22107,89163732,30967,44136,6564,2014
ajax,22056,21273601,27222,71263,3243,2017
typescript,21966,90941503,30755,44582,15454,2017
docker,21842,15155887,20838,39389,4162,2020
linux,21745,144646712,38184,44833,29663,2013
vba,21679,44485602,30410,47741,3527,2015
regex,21644,18353172,35555,66317,3464,2017
xml,21471,23827884,26946,43596,4117,2016
mysql,21445,172779641,55506,25948,34280,2010
wordpress,21398,22110784,24909,37500,5213,2017
eclipse,21378,54943257,30518,44823,7777,2014
spring-boot,21119,25052549,24051,43942,4947,2019
.net,21104,30438801,27556,55229,7548,2016
django,21042,48867819,27931,32493,13331,2014
spring,21007,79111089,27337,43252,14002,2015
linux,20834,32824191,25819,53606,6549,2017
react-native,20776,26295575,25323,33108,4707,2019
laravel,20754,58688228,31951,41975,8650,2016
spring,20571,36505585,24273,44558,6550,2018
django,20398,62002926,29872,32535,16880,2013
php,20380,225221931,72171,20277,51012,2009
ajax,20333,74533179,35549,40262,12691,2012
postgresql,20316,5389851,21435,37748,1819,2020
wordpress,20250,22450879,24020,35612,4007,2016
json,20241,1293711,19931,39282,918,2021
swift,20218,1454268,16025,37606,1488,2021
mongodb,20195,4928257,18863,32889,1521,2020
wordpress,20130,24324364,24220,35982,4164,2015
twitter-bootstrap,20050,53146481,29874,38798,5368,2015
asp.net,20041,130960003,56223,13940,28947,2009
wordpress,20019,32030400,26281,33220,4836,2014
reactjs,19975,109958139,30298,32633,22174,2016
firebase,19964,36191176,24810,38341,10740,2017
regex,19942,87625492,46865,40294,12907,2012
flutter,19824,49142098,28981,29808,9453,2019
regex,19675,9838108,31760,61432,2730,2018
laravel,19661,1952740,17354,39140,956,2021
sql,19597,211971787,54669,25426,35839,2010
xml,19566,65506646,32050,29707,8960,2012
string,19521,61973537,43292,55651,9445,2014
jquery,19508,981113,17615,41471,808,2021
wpf,19343,54716637,27758,37126,9365,2013
database,19343,60836192,32294,40624,9766,2013
spring-boot,19281,42883292,23378,40158,7278,2018
dataframe,19204,992148,23500,26374,1238,2021
arrays,19144,154478164,49247,43034,21199,2012
ios,19107,1868691,12849,28391,1522,2021
spring,19102,7717456,18628,36651,2277,2020
string,18916,41615051,39020,56187,6748,2015
python-3.x,18816,50629102,28463,42327,9467,2016
ruby,18729,82026832,40082,21263,28467,2011
javascript,18724,539324622,71279,19905,138053,2009
vba,18689,2288349,18540,55661,1500,2020
dart,18627,13511144,22237,25985,3231,2020
asp.net-mvc,18605,21680409,21921,55199,3834,2017
vue.js,18602,24479223,22498,33706,3584,2019
react-native,18564,2085636,12950,19192,884,2021
regex,18503,5075483,30016,51278,2515,2019
sql-server,18482,144264570,38772,37551,14066,2012
xcode,18412,43792022,27547,35491,14628,2015
xml,18383,16235467,22208,37712,2804,2017
mongodb,18325,30028558,21138,30317,5866,2016
c,18312,1273387,21135,79309,1179,2021
vb.net,18252,26828635,22976,43413,2231,2014
vb.net,18238,54222016,26882,37572,3577,2013
.net,18237,23444794,22216,51535,6329,2017
firebase,18222,15067988,20376,34518,4114,2019
spring,18213,89246998,25884,36270,15317,2014
wpf,18213,29724173,23235,38631,5159,2014
database,18081,38966294,26481,40845,7371,2014
docker,18080,24894520,20519,35026,5971,2019
database,18078,23676017,24535,42904,4750,2015
string,18021,121797969,45625,48427,14015,2013
twitter-bootstrap,18003,38193614,27239,34937,4186,2016
kotlin,17986,7542780,19449,29991,2516,2020
react-native,17984,37842673,23178,28412,6236,2018
python-2.7,17980,38211385,25121,38543,7017,2016
node.js,17943,131831973,30316,27571,36692,2013
angularjs,17939,191305948,32445,26610,55959,2013
azure,17928,7824066,19197,26127,2575,2020
wordpress,17880,13832576,19455,33264,3437,2018
objective-c,17873,78338628,38502,13583,31505,2010
eclipse,17773,78557242,30160,33497,10858,2013
database,17637,19720291,22842,43652,3457,2016
json,17630,126178826,33305,31223,20449,2012
ruby-on-rails,17516,71787615,36737,10656,31846,2010
python-2.7,17351,27288310,22538,39368,4540,2017
wpf,17341,53238517,27201,24425,9319,2012
ruby,17305,11277504,23771,37222,2823,2017
spring-boot,17250,1707292,12679,27222,1088,2021
amazon-web-services,17230,1703029,12252,23904,976,2021
regex,17145,2120469,25046,45049,1390,2020
linux,17080,141953364,35027,32659,30472,2012
spring,17041,16168957,19235,35743,3575,2019
mongodb,17039,22100641,17950,32553,4540,2017
database,16970,71033274,31932,30218,13946,2012
amazon-web-services,16965,16630462,19160,26251,4137,2019
ruby-on-rails-3,16886,33879382,26061,18162,11294,2012
excel,16841,137457196,26977,33943,7880,2013
excel,16791,838151,14421,39370,1017,2021
amazon-web-services,16742,25453762,19899,25911,6334,2018
mongodb,16740,33684487,20086,27942,7244,2015
twitter-bootstrap,16737,86004876,26162,30354,9815,2014
ruby-on-rails,16723,9116381,19757,35935,2264,2018
wpf,16669,19484976,20557,36553,3621,2015
string,16668,29708544,32717,51584,4849,2016
asp.net-mvc,16578,73798331,29088,22316,16340,2012
vba,16528,62093721,23017,33846,4403,2014
django,16400,56373416,27161,20875,17812,2012
linux,16358,6111303,16242,39914,1767,2020
docker,16337,40076180,20217,29051,9100,2018
database,16294,16167203,20419,42146,3500,2017
list,16258,2270261,28141,36921,1291,2020
wpf,16242,70154499,29580,17536,14293,2011
asp.net,16179,12381217,16839,46434,2730,2018
numpy,16102,4068767,19807,34227,1787,2020
bash,16084,27190701,26821,40831,5588,2016
multithreading,16047,23981781,23979,46163,8412,2014
bash,16020,21510947,25510,42858,4431,2017
wordpress,16016,36405277,23236,24141,4923,2013
.net,16005,13850756,18382,48883,4122,2018
xml,15901,71130401,29739,20973,11211,2011
facebook,15881,35171738,21625,16669,8588,2012
asp.net-core,15864,8425249,16563,33302,2305,2020
postgresql,15749,23738333,19293,33917,4228,2017
firebase,15725,1508839,12610,22053,807,2021
wordpress,15701,3481130,12823,22527,1337,2020
dataframe,15680,7612810,22741,27872,2383,2019
postgresql,15659,9470559,18214,31007,2361,2019
mongodb,15657,15449869,16432,30979,3464,2018
c++,15653,191578278,68070,23955,76526,2009
docker,15632,2339158,10850,25135,1488,2021
css,15615,219946911,44826,19679,36431,2010
tensorflow,15587,8671094,13336,21593,2623,2020
vue.js,15531,1991985,13061,20931,789,2021
eclipse,15510,87793569,29851,23383,14170,2012
amazon-web-services,15479,30555402,20074,24214,7479,2017
xcode,15459,31328411,21300,32394,10091,2016
asp.net-mvc-3,15458,51714411,25526,21161,9271,2012
string,15450,19736973,29240,50211,3516,2017
windows,15390,40004221,19305,37829,7965,2015
bash,15375,29642976,25593,38963,5950,2015
xcode,15336,45092284,23950,29089,15128,2014
vb.net,15315,14135215,17795,40323,1563,2015
ruby-on-rails-3,15301,50516557,27400,13767,19608,2011
c,15268,145441276,54625,32153,42629,2010
pandas,15247,72539283,23217,24689,13975,2016
dart,15236,2201637,15053,19041,942,2021
swift,15223,142595743,34210,26514,44671,2014
git,15174,49741751,22357,27738,14962,2016
azure,15152,12682757,18180,22968,2951,2019
multithreading,15148,17524016,21036,45627,6386,2015
bash,15139,47174308,29596,34006,8966,2014
windows,15103,53671999,20544,34003,9096,2014
ajax,15039,73450394,29656,21904,14739,2011
postgresql,15006,15573630,17538,31650,3078,2018
regex,15002,102776440,40425,27230,16282,2011
windows,14917,83163095,23576,32179,13999,2013
ajax,14884,8817378,17117,48858,1779,2018
eclipse,14882,26286133,18645,32358,3975,2015
linux,14861,15130516,17437,40814,3619,2018
git,14810,47960686,21486,27017,15210,2015
postgresql,14777,31263270,18940,30157,5696,2016
windows,14766,34358320,17558,37737,7542,2016
python-2.7,14760,40582566,22118,31807,7308,2015
scala,14702,26136691,19295,24220,7854,2016
sql-server,14683,151545771,34948,24838,17286,2011
postgresql,14648,966145,12848,26690,750,2021
laravel,14612,72301891,23413,28577,11237,2015
wpf,14450,12701401,16897,33510,2610,2016
jquery,14447,297060906,46652,12596,58580,2009
mongodb,14397,8129299,15057,24496,2167,2019
forms,14332,28899909,22331,33846,3913,2014
multithreading,14329,39630075,25762,38572,13040,2013
wordpress,14327,6094909,15093,24024,1968,2019
vue.js,14323,38594264,18465,27477,5857,2018
tensorflow,14251,22381019,14799,19221,6753,2018
twitter-bootstrap,14221,31595839,21225,28264,3828,2017
oracle,14208,34392843,21416,35317,3540,2015
git,14169,32586011,19634,28796,9629,2017
string,14164,2289255,23027,37768,1207,2020
asp.net-mvc-4,14143,60656409,21877,23822,9503,2013
iphone,14076,28798763,22066,28820,10021,2014
database,14055,9907343,16935,36445,2453,2018
mongodb,14036,914619,10191,19470,771,2021
matlab,14029,18152240,18495,28564,3776,2014
azure,14026,15456983,16739,22922,3635,2018
dataframe,13957,18614227,21163,24753,4441,2018
oracle,13941,22471304,20205,35489,2461,2016
oracle,13933,17209813,19438,36339,2280,2017
android-studio,13869,38652150,21154,30828,7071,2016
xcode,13864,43602198,23211,25127,13306,2013
matlab,13854,11341298,16236,33847,2747,2015
multithreading,13835,14178966,18035,42150,5896,2016
.net,13822,3971051,13449,36251,1624,2020
azure,13821,18437826,17428,21302,4556,2017
api,13766,4321346,12914,22872,1181,2020
oracle,13761,45725296,20809,28997,3924,2014
kotlin,13685,12967689,17793,25181,3541,2019
.net,13673,7861605,14943,40476,2448,2019
git,13652,64482912,21433,23210,21402,2014
scala,13630,18714626,17686,20800,4787,2017
typescript,13629,96578174,21649,22564,16521,2016
forms,13523,50676205,23437,29412,5641,2013
angularjs,13523,6529457,15080,30795,1277,2018
express,13484,4384789,13144,23665,1057,2020
swing,13469,36262067,21255,34033,3520,2013
kotlin,13459,1397887,11751,20784,1004,2021
windows,13440,25678730,15205,36914,5434,2017
spring,13438,79126495,20912,22184,13399,2013
image,13356,57628706,21242,26735,8850,2013
react-native,13338,45986679,19221,19765,8057,2017
vb.net,13249,9888381,14535,38761,1193,2016
xcode,13248,52012355,26201,13391,18552,2011
mongodb,13225,35894110,17214,20327,8376,2014
tensorflow,13212,14919666,13143,19280,4329,2019
database,13192,2391288,13478,26859,885,2020
docker,13185,53268946,18213,23103,12992,2017
bash,13182,9729655,19350,37241,2424,2018
windows,13166,89332549,23712,26532,15263,2012
oracle,13157,10646982,18534,33963,1849,2018
selenium,13132,4407836,14461,22529,1148,2020
string,13116,153586425,37682,30261,19721,2012
objective-c,13097,9132699,16338,33858,3532,2017
iphone,13096,86877454,35009,7314,42031,2009
postgresql,13043,31611924,17568,27942,6259,2015
sql-server,13040,775455,14250,42374,645,2021
tensorflow,13038,31397252,15064,17591,11056,2017
string,13034,10663714,23961,41473,2555,2018
spring-boot,13026,41277129,16749,26594,6839,2017
android-studio,12989,6926362,13179,20328,1803,2020
asp.net-mvc-3,12987,69670774,24705,12905,18183,2011
asp.net-core,12942,17214840,15441,30622,3941,2019
vb.net,12936,46821739,21113,20634,2989,2012
ruby-on-rails,12895,5313542,14883,25470,1549,2019
xml,12885,7517595,15023,27479,1622,2018
scala,12875,27233742,18397,18880,9497,2015
python,12867,439486383,52997,15113,128779,2009
arrays,12865,156266114,38760,24092,24531,2011
oracle,12864,2497500,17333,25987,929,2020
forms,12854,18326532,18342,31457,2459,2015
vba,12838,97904858,19924,25578,5310,2013
database,12828,64075446,27949,18057,14667,2011
django,12822,63335325,24773,12803,22042,2011
asp.net-mvc,12784,70227557,25851,13389,18479,2011
numpy,12696,8673313,17025,30653,2439,2019
image,12659,30733406,17648,26846,5070,2014
git,12611,18999382,16077,27322,6455,2018
xcode,12597,21148452,16768,29149,6285,2017
wordpress,12566,682168,7451,13862,540,2021
powershell,12546,4023461,13805,25761,1825,2020
bash,12514,2469601,16613,34803,1099,2020
bash,12493,98888456,27599,22414,17664,2013
apache,12455,29729775,15318,22060,4580,2014
swing,12384,16501524,17179,34385,2062,2014
git,12352,4584686,13126,25145,3145,2020
wpf,12338,66176775,24055,7844,14571,2010
apache-spark,12299,31853710,14727,18040,7514,2017
bash,12288,5854097,17504,34517,1980,2019
asp.net-mvc,12286,9653831,12978,38731,2187,2018
visual-studio,12282,21843681,14563,31832,4695,2017
git,12282,104078556,23244,20036,38062,2013
oracle,12270,4854639,17320,28132,1334,2019
ruby-on-rails-3,12261,19374169,17728,17364,5323,2013
facebook,12182,24601003,14157,16155,6643,2013
firebase,12181,39969194,17153,23626,11721,2016
r,12180,105962232,22593,22268,29105,2012
amazon-web-services,12175,31654526,16425,19527,7639,2016
macos,12162,34563660,15728,23392,9975,2015
linux,12148,8241250,14103,32457,2243,2019
python-2.7,12119,43404132,18574,23784,7014,2014
wpf,12108,8854961,14037,30121,1811,2017
algorithm,12106,13568459,20962,43217,7442,2015
visual-studio,12053,19220899,14658,29312,3929,2016
spring,12034,1156343,9119,19781,748,2021
twitter-bootstrap,12021,142901119,22971,18602,19199,2013
winforms,12011,42433416,20504,30768,4437,2013
asp.net,12010,6327055,12260,32368,1616,2019
azure,11921,1263684,10526,15573,1216,2021
apache-spark,11916,45108983,14792,18655,11328,2016
facebook,11906,40490791,19280,9361,12127,2011
macos,11900,41286542,16708,21826,12553,2014
visual-studio-2010,11889,44171304,20229,21295,7524,2012
multithreading,11884,10320435,14272,39117,3867,2017
oracle,11875,65068174,20315,24704,4839,2013
